X	Y
373.500000000	117.000000000
376.000000000	103.500000000
380.500000000	92.000000000
387.500000000	77.000000000
401.500000000	59.000000000
418.000000000	43.500000000
431.000000000	35.500000000
452.000000000	28.500000000
474.500000000	26.000000000
501.500000000	24.500000000
525.000000000	23.500000000
555.000000000	23.500000000
585.000000000	22.500000000
603.500000000	23.000000000
623.500000000	24.500000000
640.500000000	28.000000000
660.000000000	32.500000000
671.500000000	38.000000000
678.500000000	43.000000000
698.500000000	51.000000000
711.500000000	52.500000000
734.500000000	64.500000000
743.000000000	76.000000000
751.000000000	92.500000000
749.500000000	106.000000000
748.500000000	121.000000000
749.000000000	135.000000000
747.000000000	144.500000000
744.500000000	152.500000000
741.000000000	162.000000000
735.500000000	166.000000000
721.000000000	170.000000000
709.000000000	172.500000000
696.500000000	176.000000000
680.000000000	186.500000000
672.000000000	189.500000000
655.500000000	196.000000000
636.500000000	200.500000000
604.500000000	204.000000000
581.500000000	206.500000000
560.000000000	208.500000000
536.500000000	210.500000000
519.500000000	211.000000000
493.500000000	212.000000000
465.000000000	212.500000000
447.000000000	211.000000000
425.000000000	206.500000000
412.500000000	198.500000000
399.500000000	185.500000000
388.500000000	172.000000000
382.000000000	159.000000000
378.000000000	144.000000000
375.500000000	132.500000000
