"Photo_ID","ID","recolorize_ID","Year","Species","State","Site_Name","Nest","Lat","Lon","Photographed"
"318_side","318","polistes_01",2015,"fuscatus","MD","Stethem Ed Center","Nest 3",38.570382,-77.029222,"Y"
"345_side","345","polistes_02",2015,"fuscatus","MD","McDonough High School","wing",39.394526,-76.777069,"Y"
"347_side","347","polistes_03",2015,"fuscatus","MD","McDonough High School","wing",39.394526,-76.777069,"Y"
"349_side","349","polistes_04",2015,"fuscatus","MD","Lackey High School","wing",38.579347,-77.127815,"Y"
"642_side","642","polistes_05",2015,"fuscatus","NY","Spring Hollow, Linster Farm","wing",42.533522,-76.313357,"Y"
"645_side","645","polistes_06",2015,"fuscatus","NY","Spring Hollow, Linster Farm","wing",42.533522,-76.313357,""
"646_side","646","polistes_07",2015,"fuscatus","NY","Spring Hollow, Linster Farm","wing",42.533522,-76.313357,"Y"
"647_side","647","polistes_08",2015,"fuscatus","NY","Spring Hollow, Linster Farm","wing",42.533522,-76.313357,"Y"
"648_side","648","polistes_09",2015,"fuscatus","NY","Spring Hollow, Linster Farm","wing",42.533522,-76.313357,"Y"
"649_side","649","polistes_10",2015,"fuscatus","NY","Spring Hollow, Linster Farm","wing",42.533522,-76.313357,"Y"
"2020_446_2021_01_04_1329","2020_446","polistes_11",2020,"fuscatus","PA","Linesville","nest 1",41.3923,80.2528,"Y"
"2020_448_2021_01_04_1332","2020_448","polistes_12",2020,"fuscatus","PA","Linesville","nest 3",41.3923,80.2528,"Y"
"2020_453_2021_01_04_1337","2020_453","polistes_13",2020,"fuscatus","PA","Linesville","nest 5",41.3923,80.2528,"Y"
"2020_456_2021_01_04_1340","2020_456","polistes_14",2020,"fuscatus","PA","Linesville","nest 7",41.3923,80.2528,"Y"
"2020_457_2021_01_04_1341","2020_457","polistes_15",2020,"fuscatus","PA","Linesville","nest 7",41.3923,80.2528,"Y"
"2020_458_2021_01_04_1342","2020_458","polistes_16",2020,"fuscatus","PA","Linesville","nest 8",41.3923,80.2528,"Y"
"2020_460_2021_01_04_1344","2020_460","polistes_17",2020,"fuscatus","PA","Linesville","nest 9",41.3923,80.2528,"Y"
"2020_461_2021_01_04_1345","2020_461","polistes_18",2020,"fuscatus","PA","Linesville","nest 9",41.3923,80.2528,"Y"
"2020_464_2021_01_04_1348","2020_464","polistes_19",2020,"fuscatus","PA","Linesville","nest 12",41.3923,80.2528,"Y"
"2020_465_2021_01_04_1349","2020_465","polistes_20",2020,"fuscatus","PA","Linesville","nest 13",41.3923,80.2528,"Y"
