"wl","lw","mw","sw"
400,2.08e-05,2.39e-05,0.000973728
401,2.41e-05,2.8e-05,0.001146058
402,2.78e-05,3.25e-05,0.001343249
403,3.2e-05,3.76e-05,0.001567467
404,3.66e-05,4.32e-05,0.001820714
405,4.17e-05,4.96e-05,0.002104755
406,4.74e-05,5.67e-05,0.002420904
407,5.37e-05,6.45e-05,0.002769763
408,6.05e-05,7.32e-05,0.00315109
409,6.77e-05,8.26043e-05,0.00356365
410,7.53e-05,9.2754e-05,0.004005069
411,8.3e-05,0.000103565,0.004472168
412,9.09e-05,0.000115017,0.004962729
413,9.89034e-05,0.00012711,0.005474759
414,0.000107088,0.000139845,0.006006211
415,0.000115485,0.000153235,0.006555076
416,0.000124143,0.000167288,0.007118482
417,0.000132984,0.000181945,0.007689297
418,0.000141878,0.000197115,0.008258049
419,0.000150671,0.000212683,0.00881372
420,0.000159184,0.000228517,0.009344004
421,0.000167271,0.000244499,0.009838707
422,0.000175002,0.000260677,0.010300822
423,0.000182538,0.00027718,0.010739164
424,0.000190081,0.000294183,0.011165268
425,0.000197873,0.000311913,0.011593228
426,0.000206139,0.000330608,0.01203518
427,0.00021488,0.000350346,0.012486792
428,0.000224031,0.000371165,0.012938267
429,0.000233512,0.000393098,0.013378414
430,0.000243226,0.00041618,0.013794755
431,0.000253086,0.000440419,0.014177423
432,0.000263091,0.000465731,0.014531576
433,0.000273269,0.000491982,0.014867423
434,0.000283656,0.000519004,0.015196395
435,0.000294289,0.000546585,0.015531107
436,0.000305175,0.00057448,0.015879536
437,0.00031616,0.000602417,0.016226934
438,0.000327022,0.000630092,0.016551196
439,0.000337514,0.000657167,0.016828568
440,0.000347364,0.000683267,0.017034194
441,0.00035636,0.000708103,0.017150131
442,0.000364638,0.000731852,0.017188238
443,0.000372443,0.000754861,0.01716897
444,0.000380051,0.000777545,0.017113399
445,0.000387761,0.000800379,0.017042703
446,0.000395829,0.000823761,0.016971576
447,0.000404224,0.000847555,0.016889793
448,0.000412842,0.000871456,0.016781196
449,0.000421565,0.000895131,0.016630143
450,0.000430266,0.00091821,0.016421818
451,0.000438877,0.000940483,0.016148623
452,0.000447603,0.00096251,0.015827335
453,0.000456738,0.00098511,0.015479868
454,0.000466599,0.001009186,0.015126609
455,0.000477534,0.001035723,0.014786276
456,0.000489887,0.001065653,0.01447329
457,0.000503899,0.001099385,0.014190384
458,0.000519807,0.001137199,0.013937506
459,0.000537879,0.001179422,0.013714776
460,0.000558425,0.001226412,0.013522299
461,0.000581695,0.001278434,0.013357547
462,0.000607503,0.001335065,0.013207078
463,0.000635502,0.001395588,0.013055355
464,0.000665262,0.001459117,0.012887578
465,0.000696253,0.001524587,0.012689755
466,0.000727938,0.001590901,0.012451195
467,0.000760115,0.001657542,0.012171434
468,0.000792668,0.001724109,0.011852741
469,0.000825464,0.001790181,0.011497884
470,0.000858355,0.001855282,0.011109972
471,0.000891235,0.001919043,0.010693202
472,0.000924171,0.001981634,0.010254533
473,0.000957341,0.002043433,0.009801185
474,0.000990915,0.002104884,0.009339793
475,0.00102512,0.002166494,0.008876355
476,0.001060161,0.002228768,0.008416321
477,0.001096083,0.002291854,0.007965276
478,0.001132902,0.002355816,0.007527982
479,0.001170636,0.002420727,0.007108307
480,0.001209284,0.002486683,0.006709257
481,0.001248856,0.002553703,0.006332158
482,0.001289274,0.002621599,0.00597443
483,0.001330467,0.002690076,0.0056331
484,0.001372309,0.002758815,0.005305692
485,0.001414711,0.002827471,0.004990213
486,0.001457682,0.00289601,0.004686045
487,0.001501956,0.002965826,0.004396349
488,0.0015485,0.003038785,0.004124306
489,0.001598409,0.003116955,0.003872236
490,0.0016529,0.003202624,0.003641686
491,0.001713095,0.003297755,0.00343288
492,0.001779105,0.003402346,0.003243032
493,0.00185075,0.003515777,0.003069135
494,0.001927771,0.00363734,0.002908594
495,0.002009874,0.003766203,0.002759209
496,0.002096732,0.003901573,0.002618985
497,0.002188404,0.004043546,0.002485808
498,0.002284995,0.004192397,0.002357805
499,0.002386617,0.00434843,0.002233428
500,0.002493372,0.004511963,0.002111424
501,0.002605331,0.004683227,0.001991018
502,0.002722458,0.00486197,0.001872211
503,0.002844685,0.005047769,0.00175526
504,0.0029719,0.005240087,0.00164043
505,0.003103921,0.005438301,0.001528002
506,0.003240549,0.005641673,0.001418645
507,0.003381587,0.005849538,0.001314259
508,0.003526784,0.006061179,0.001216552
509,0.003675856,0.006275763,0.001126694
510,0.003828456,0.006492373,0.001045425
511,0.003984189,0.0067101,0.000972733
512,0.00414264,0.006928545,0.000906969
513,0.004303334,0.007147432,0.000846433
514,0.004465745,0.007366499,0.000789762
515,0.004629304,0.007585482,0.000735881
516,0.004793243,0.007803716,0.000684128
517,0.004956267,0.008018796,0.000634648
518,0.005116841,0.008227684,0.000587692
519,0.005273273,0.008427058,0.00054343
520,0.005423733,0.008613427,0.000501962
521,0.005566781,0.008784016,0.000463293
522,0.005702841,0.008939775,0.000427264
523,0.005833015,0.009082835,0.000393699
524,0.005958555,0.009215579,0.000362429
525,0.006080895,0.009340591,0.000333307
526,0.006201197,0.009460024,0.000306205
527,0.006319076,0.009573571,0.000281057
528,0.006433692,0.009680304,0.000257794
529,0.006544175,0.009779242,0.000236337
530,0.006649619,0.009869426,0.000216598
531,0.006749524,0.00995038,0.000198469
532,0.006845148,0.010023655,0.000181796
533,0.006938288,0.010091414,0.000166431
534,0.007030866,0.010155872,0.000152247
535,0.007124903,0.010219306,0.000139133
536,0.007221822,0.010283236,0.000127004
537,0.007320242,0.010345795,0.000115816
538,0.00741798,0.010404209,0.000105529
539,0.007512725,0.010455671,9.60965e-05
540,0.007602076,0.010497335,8.74725e-05
541,0.00768392,0.010526764,7.96036e-05
542,0.007757748,0.010543513,7.24267e-05
543,0.007823474,0.010547595,6.58813e-05
544,0.007881045,0.010539104,5.99122e-05
545,0.007930454,0.010518178,5.44693e-05
546,0.00797214,0.010485574,4.95066e-05
547,0.008008389,0.010444459,4.5e-05
548,0.008042007,0.010398587,4.09e-05
549,0.008075841,0.010351639,3.71e-05
550,0.008112789,0.010307222,3.37e-05
551,0.008154881,0.010267647,3.06e-05
552,0.008200536,0.010230097,2.77e-05
553,0.0082472,0.010190563,2.51e-05
554,0.008292286,0.010145103,2.28e-05
555,0.008333126,0.010089832,2.07e-05
556,0.008367736,0.010022158,1.88e-05
557,0.008396979,0.009944167,1.7e-05
558,0.00842246,0.00985911,1.54e-05
559,0.008445818,0.009770108,1.4e-05
560,0.008468702,0.00968023,1.27e-05
561,0.008492353,0.009591513,1.15e-05
562,0.008516333,0.009502447,1.05e-05
563,0.008539743,0.009410702,9.51e-06
564,0.008561677,0.009314064,8.63e-06
565,0.00858123,0.009210379,7.84e-06
566,0.008597625,0.00909815,7.12e-06
567,0.008610646,0.00897799,6.46e-06
568,0.008620215,0.008850984,5.87e-06
569,0.008626273,0.008718219,5.33e-06
570,0.008628749,0.008580718,4.84e-06
571,0.008627403,0.008439093,4.4e-06
572,0.008621242,0.00829231,4e-06
573,0.008609127,0.00813904,3.64e-06
574,0.008589902,0.007978092,3.31e-06
575,0.008562454,0.007808431,3.01e-06
576,0.008526524,0.007629941,2.74e-06
577,0.008485097,0.007445576,2.49e-06
578,0.008441927,0.007258817,2.27e-06
579,0.008400698,0.00707286,2.07e-06
