"imname","m_lum","source","museumID","rel_lum","imageID"
"Diglossa_Aug2021_LSUMZ129286_B_VIS",0.0813022825149417,"spectra","129286",1,"E"
"Diglossa_Aug2021_LSUMZ129286_B_VIS",21.2249924141561,"rgb","129286",1,"E"
"Diglossa_Aug2021_LSUMZ196409_B_VIS",0.129119940677099,"spectra","196409",1,"A"
"Diglossa_Aug2021_LSUMZ196409_B_VIS",21.0366893623578,"rgb","196409",1,"A"
"Canon80D-no-flash-129286",0.0814749726222813,"spectra","129286",1.00212404992822,"F"
"Canon80D-no-flash-129286",23.7984135774825,"rgb","129286",1.12124485668179,"F"
"Canon80D-no-flash-196409",0.129922310648253,"spectra","196409",1.00621414451514,"B"
"Canon80D-no-flash-196409",8.70472331041426,"rgb","196409",0.413787700168742,"B"
"Canon80D-w-flash-129286",0.0889387649050874,"spectra","129286",1.09392703567384,"G"
"Canon80D-w-flash-129286",52.2709018127999,"rgb","129286",2.46270532365126,"G"
"Canon80D-w-flash-196409",0.129922310648253,"spectra","196409",1.00621414451514,"C"
"Canon80D-w-flash-196409",69.4039167944214,"rgb","196409",3.29918437254723,"C"
"iPhoneXR-w-flash-129286",0.076964370253329,"spectra","129286",0.946644643576698,"H"
"iPhoneXR-w-flash-129286",11.9727833864464,"rgb","129286",0.564088935949917,"H"
"iPhoneXR-w-flash-196409",0.130232099573285,"spectra","196409",1.00861337830822,"D"
"iPhoneXR-w-flash-196409",16.338807590834,"rgb","196409",0.77668150674269,"D"
